State,Issuer_Id,Issuer_Name,Is_Issuer_New_to_Exchange,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_In_Network,Denial_Rate,Plan_Id,Plan_Type,Metal_Level,Plan_Claims_Received,Plan_Claims_Received_In_Network,Plan_Claims_Received_Out_Of_Network,Plan_Claims_Denied,Plan_Claims_Denied_In_Network,Plan_Claims_Denied_Out_Of_Network,Plan_Denial_Rate,Plan_Claims_Denial_Rate_In_Network,Plan_Claims_Denial_Rate_Out_Of_Network,Plan_Claims_Resubmitted_In_Network,Plan_Claims_Resubmitted_Out_Of_Network,Plan_Claims_Denied_Due_To_Referral_Required,Plan_Claims_Denied_Due_To_Out_Of_Network,Plan_Claims_Denied_Due_To_Services_Excluded,Plan_Claims_Denied_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Due_To_Member_Not_Covered,Plan_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Due_To_Administrative_Reason,Plan_Claims_Denied_Due_To_Other,Plan_Claims_Denied_Proportion_Due_To_Referral_Required,Plan_Claims_Denied_Proportion_Due_To_Services_Excluded,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Proportion_Due_To_Member_Not_Covered,Plan_Claims_Denied_Proportion_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Proportion_Due_To_Administrative_Reason,Plan_Claims_Denied_Proportion_Due_To_Other,Average_Monthly_Enrollment,Average_Monthly_Disenrollment
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0750002,PPO,Bronze Expanded,65640,64560,1080,1800,1426,374,0.027422303,0.02208798,0.346296296,348,**,154,**,426,,**,**,258,1123,116,1715,66,0.039917055,0.110419907,,,,0.066874028,0.291083463,0.030067392,0.444530845,0.017107309,3457,327
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0750004,PPO,Silver,33376,32853,523,930,764,166,0.027864334,0.023255106,0.317399618,115,**,47,**,173,,**,**,83,1022,48,977,23,0.019806153,0.072903498,,,,0.034976823,0.430678466,0.02022756,0.411715129,0.009692373,1146,137
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0750005,PPO,Silver,5601,5468,133,200,109,91,0.035707909,0.019934162,0.684210526,15,**,**,**,24,,**,**,14,108,17,203,**,,0.06557377,,,,0.038251366,0.295081967,0.046448087,0.554644809,,177,28
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0750012,PPO,Bronze Expanded,86085,84963,1122,2022,1678,344,0.023488413,0.019749773,0.306595365,377,13,95,**,422,,**,**,278,1776,137,2127,69,0.019371941,0.086052202,,,,0.056688418,0.362153344,0.027936378,0.433727569,0.014070147,4163,485
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0750013,PPO,Silver,108387,107337,1050,2329,1934,395,0.021487817,0.018018018,0.376190476,363,15,118,**,609,,**,**,269,2442,134,2277,82,0.019895465,0.10268083,,,,0.045354915,0.411734952,0.022593155,0.383915023,0.013825662,3023,388
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0750014,PPO,Gold,65582,64789,793,1762,1481,281,0.026867128,0.022858819,0.354350567,246,13,115,**,458,,**,**,377,1069,70,1621,72,0.030407192,0.121099947,,,,0.099682708,0.28265468,0.018508726,0.428609201,0.019037546,1531,179
OR,10091,PacificSource Health Plans,No,452760,9756,0.026228318,10091OR0760001,PPO,Gold,77917,76744,1173,2188,1780,408,0.028081163,0.023193996,0.347826087,323,**,108,**,532,,**,**,409,1245,90,2101,124,0.023432415,0.11542634,,,,0.088739423,0.270123671,0.019527012,0.455847255,0.026903884,2036,215
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0070004,PPO,Bronze Expanded,76743,75485,1258,14190,13700,490,0.184902858,0.181493012,0.389507154,9787,15,914,14,3803,40,40,**,1256,4802,322,7631,926,0.046410074,0.193104499,0.002031075,0.002031075,,0.063775769,0.243830608,0.016350157,0.38747842,0.047019397,2525,258
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0070013,PPO,Gold,103341,101541,1800,20219,19207,1012,0.195653226,0.18915512,0.562222222,13593,63,1778,37,5366,100,89,11,2122,5409,262,11954,1488,0.062431967,0.188419537,0.003511359,0.00312511,0.00038625,0.074511043,0.189929422,0.009199761,0.419747884,0.052249026,1754,176
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0070014,PPO,Silver,23938,23744,194,6366,6283,83,0.265937004,0.264614218,0.427835052,3222,13,352,**,1210,11,11,**,500,3248,78,2482,305,0.043000244,0.14781334,0.001343758,0.001343758,,0.061079892,0.396774982,0.009528463,0.303200586,0.037258734,313,43
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0070016,PPO,Silver,24495,24241,254,4644,4516,128,0.189589712,0.186295945,0.503937008,3107,**,309,**,1023,,**,**,433,1874,110,2611,188,0.047189982,0.15623091,,,,0.066127062,0.286194258,0.016799023,0.398747709,0.028711057,272,34
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0070025,PPO,Gold,189822,186976,2846,32315,31240,1075,0.170238434,0.167080267,0.37772312,24474,89,3310,36,8721,310,265,45,3671,7994,641,20248,2055,0.070500532,0.185750799,0.006602769,0.005644302,0.000958466,0.078189563,0.170266241,0.013652822,0.431267306,0.043769968,4376,433
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0070026,PPO,Bronze,16834,16390,444,4098,3982,116,0.243435904,0.24295302,0.261261261,2173,14,237,**,907,,**,**,227,1524,65,2101,222,0.044860875,0.171682756,,,,0.042968011,0.288472459,0.012303615,0.397690706,0.042021579,547,68
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0170016,PPO,Silver,20259,19979,280,3525,3423,102,0.173996742,0.171329896,0.364285714,2390,15,401,**,861,12,12,**,432,949,55,2017,244,0.080667874,0.173204587,0.002414001,0.002414001,,0.086904043,0.190907262,0.011064172,0.40575337,0.049084691,225,33
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0170017,PPO,Gold,35028,34850,178,6423,6369,54,0.183367592,0.182754663,0.303370787,4589,**,584,**,1862,,**,**,819,1092,116,3598,618,0.067211417,0.214293935,,,,0.094257107,0.125676142,0.013350213,0.414086776,0.07112441,718,109
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0170018,PPO,Silver,22432,21994,438,3611,3483,128,0.160975392,0.158361371,0.292237443,2672,12,609,15,1132,79,18,61,632,544,68,1910,230,0.117025365,0.217524981,0.01518063,0.003458878,0.011721752,0.121445042,0.104534973,0.013066872,0.367025365,0.044196772,246,37
WY,11269,Blue Cross Blue Shield of Wyoming,No,976451,187139,0.194246587,11269WY0170020,PPO,Bronze Expanded,7219,7158,61,1196,1181,15,0.165673916,0.164990221,0.245901639,1052,**,110,**,433,,**,**,113,136,**,689,88,0.070108349,0.275971957,,,,0.072020395,0.086679414,,0.439133206,0.056086679,216,41
